"dga_well_code","dga_well_name","dga_well_basin","dga_well_subbasin","dga_well_elev","dga_well_lat","dga_well_lon","dga_well_utm_north","dga_well_utm_east","cr2sub_id"
"03434007-2","FUNDO PALERMO","RIO COPIAPO","Rio Copiapo Medio (entre R. Jorquera Q. Paipote)",496,-27.481111,-70.269167,6959592,374608,3434007
"03451006-7","FUNDO SAN JUAN","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",241,-27.316389,-70.5125,6977604,350338,3451006
"03451007-5","FUNDO SAN PEDRO","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",212,-27.332222,-70.563889,6975755,345279,3451007
"03450014-2","HACIENDA BODEGA","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",0,-27.305556,-70.397222,6978905,361737,3450014
"03823006-9","HACIENDA VENTANAS","RIO HUASCO","Rio Huasco",342,-28.559722,-70.796944,6839476,324216,3823006
"03826006-5","HUASCO ALTO","RIO HUASCO","Rio Huasco",9,-28.477222,-71.169722,6848014,287594,3826006
"03826008-1","HUASCO ALTO","RIO HUASCO","Rio Huasco",0,-28.472222,-71.163889,6848532,288138,3826008
"03451008-3","HACIENDA MARGARITA","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",195,-27.338056,-70.605278,6975096,341194,3451008
"03451009-1","HACIENDA MARIA ISABEL","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",89,-27.358333,-70.708333,6972674,331026,3451009
"03434005-6","PARCELA 8 NANTOCO","RIO COPIAPO","Rio Copiapo Medio (entre R. Jorquera Q. Paipote)",549,-27.535556,-70.266667,6953562,374917,3434005
"03826004-9","HUASCO ALTO C - 2","RIO HUASCO","Rio Huasco",11,-28.469167,-71.161667,6848924,288347,3826004
"03823005-0","POZO A.P. VALLENAR","RIO HUASCO","Rio Huasco",406,-28.584167,-70.741389,6836836,329706,3823005
"03431010-6","QUEBRADA CERRILLOS","RIO COPIAPO","Rio Copiapo Medio (entre R. Jorquera Q. Paipote)",598,-27.571389,-70.249167,6949649,376690,3431010
"03450006-1","PUEBLO SAN FERNANDO (FUNDO EL SAUCE)","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",435,-27.400556,-70.283333,6968501,373116,3450006
"03450005-3","PUEBLO SAN FERNANDO A - 18","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",421,-27.399722,-70.286944,6968648,372762,3450005
"03450015-0","PUEBLO SAN FERNANDO LAS CAÑAS","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",434,-27.405278,-70.291944,6968027,372288,3450015
"03825006-K","TATARA","RIO HUASCO","Rio Huasco",209,-28.520833,-70.945556,6843566,309615,3825006
"03450013-4","AEROPUERTO COPIAPO","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",300,-27.304167,-70.411111,6979043,360360,3450013
"03434008-0","ALCAPARROSA","RIO COPIAPO","Rio Copiapo Medio (entre R. Jorquera Q. Paipote)",468,-27.452778,-70.268889,6962731,374603,3434008
"03826005-7","CANAL MADARIAGA","RIO HUASCO","Rio Huasco",31,-28.485833,-71.144444,6847089,290076,3826005
"03434006-4","CANAL MAL PASO","RIO COPIAPO","Rio Copiapo Medio (entre R. Jorquera Q. Paipote)",528,-27.523611,-70.269444,6954883,374629,3434006
"03804008-1","EL TRANSITO","RIO HUASCO","Rio Transito",1104,-28.883056,-70.280278,6804300,375165,3804008
"03430010-0","ESCUELA 17 LOS LOROS","RIO COPIAPO","Rio Copiapo Medio (entre R. Jorquera Q. Paipote)",968,-27.831111,-70.106111,6921024,391064,3430010
"03823008-5","FABRICA ACIDO SULFURICO","RIO HUASCO","Rio Huasco",0,-28.577778,-70.758333,6837483,328025,3823008
"03806003-1","CHIGUINTO","RIO HUASCO","Rio Transito",1008,-28.832222,-70.331111,6809860,370135,3806003
"03445001-3","CRUCE PAIPOTE","RIO COPIAPO","Quebrada Paipote",439,-27.402778,-70.273611,6968265,374080,3445001
"03431009-2","FUNDO LA PUERTA","RIO COPIAPO","Rio Copiapo Medio (entre R. Jorquera Q. Paipote)",881,-27.809167,-70.128056,6923436,388876,3431009
"03450010-K","FUNDO RENACER (BODEGA)","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",336,-27.336111,-70.377778,6975541,363698,3450010
"03451003-2","HACIENDA CHAMONATE","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",290,-27.298889,-70.444444,6979590,357055,3451003
"03450008-8","LA CHIMBA","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",351,-27.347222,-70.354167,6974336,366048,3450008
"03431005-K","HORNITOS","RIO COPIAPO","Rio Copiapo Medio (entre R. Jorquera Q. Paipote)",820,-27.765,-70.165556,6928241,385142,3431005
"03431006-8","PLANTA ELISA DE BORDOS","RIO COPIAPO","Rio Copiapo Medio (entre R. Jorquera Q. Paipote)",753,-27.717778,-70.196111,6933494,382091,3431006
"03431008-4","PABELLON","RIO COPIAPO","Rio Copiapo Medio (entre R. Jorquera Q. Paipote)",653,-27.6375,-70.229722,6942359,378672,3431008
"03430011-9","PUEBLO SAN ANTONIO","RIO COPIAPO","Rio Copiapo Medio (entre R. Jorquera Q. Paipote)",1020,-27.879167,-70.054444,6915749,396199,3430011
"03806004-K","RAMADILLAS","RIO HUASCO","Rio Transito",807,-28.761667,-70.461111,6817548,357361,3806004
"03450009-6","RECINTO ENDESA","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",384,-27.383611,-70.333889,6970326,368097,3450009
"03434009-9","PUNTA NEGRA","RIO COPIAPO","Rio Copiapo Medio (entre R. Jorquera Q. Paipote)",443,-27.426389,-70.267778,6965655,374683,3434009
"03430008-9","QUEBRADA CALQUIS","RIO COPIAPO","Rio Copiapo Medio (entre R. Jorquera Q. Paipote)",1093,-27.932222,-70.010833,6909886,400550,3430008
"03430009-7","VEGAS EL GIRO","RIO COPIAPO","Rio Copiapo Medio (entre R. Jorquera Q. Paipote)",988,-27.884722,-70.05,6915081,396644,3430009
"03431007-6","VILLA MARIA - HORNITOS","RIO COPIAPO","Rio Copiapo Medio (entre R. Jorquera Q. Paipote)",715,-27.690833,-70.221389,6936456,379570,3431007
"03940006-5","CASA DE PIEDRA","COSTERAS E ISLAS R.HUASCO-CUARTA REGION","Quebrada Chanaral",821,-28.949444,-70.863611,6796174,318388,3940006
"03451010-5","CHAMONATE (14)","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",282,-27.2825,-70.447778,6981402,356704,3451010
"03805002-8","CHANCHOQUIN","RIO HUASCO","Rio Transito",1095,-28.861944,-70.282778,6806648,374880,3805002
"03430013-5","ALGARROBO LA VIRGEN (E. LAUTARO)","RIO COPIAPO","Rio Copiapo Medio (entre R. Jorquera Q. Paipote)",1156,-28.001111,-69.977222,6902278,403912,3430013
"03603001-1","BOQUERON CHANAR","Q.TOTORAL Y COSTERAS HASTA Q.CARRIZAL","Quebrada Totoral",349,-28.068056,-70.706944,6894074,332266,3603001
"03701003-0","CANTO DEL AGUA","Q.CARRIZAL Y COSTERAS HASTA R.HUASCO","Quebradas Carrizal y Carrizalillo",0,-28.145833,-70.917222,6885112,311720,3701003
"03940003-0","DOMEYKO (C - 1)","COSTERAS E ISLAS R.HUASCO-CUARTA REGION","Quebrada Chanaral",655,-28.975833,-70.963889,6793115,308658,3940003
"03940004-9","DOMEYKO (C - 7 )","COSTERAS E ISLAS R.HUASCO-CUARTA REGION","Quebrada Chanaral",704,-28.977222,-70.928889,6793017,312068,3940004
"03815005-7","EL ROSARIO","RIO HUASCO","Rio del Carmen",830,-28.795556,-70.462222,6813777,357280,3815005
"03701007-3","ESTACION ALGARROBAL","Q.CARRIZAL Y COSTERAS HASTA R.HUASCO","Quebradas Carrizal y Carrizalillo",440,-28.132778,-70.639722,6887012,338965,3701007
"03450011-8","FUNDO STA LUISA 2 (VEGAS LO AGUIRRE)","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",267,-27.302778,-70.300556,6979316,371300,3450011
"03450012-6","HACIENDA BODEGA","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",330,-27.325,-70.380556,6976769,363410,3450012
"03825005-1","FREIRINA","RIO HUASCO","Rio Huasco",84,-28.508056,-71.071111,6844777,297305,3825005
"03451013-K","FUNDO EL CARMEN","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",248,-27.318333,-70.491667,6977381,352407,3451013
"03404003-6","FUNDO RODEO","RIO COPIAPO","Rio Jorquera",1254,-28.039444,-69.941944,6898076,407427,3404003
"03430015-1","FUNDO SAN ANTONIO","RIO COPIAPO","Rio Copiapo Medio (entre R. Jorquera Q. Paipote)",1003,-27.875278,-70.051111,6916126,396525,3430015
"03421006-3","HACIENDA MANFLAS","RIO COPIAPO","Rio Manflas",1418,-28.140278,-69.984444,6886875,403325,3421006
"03421005-5","HACIENDA MANFLAS ANTES DE HACIENDA","RIO COPIAPO","Rio Manflas",1299,-28.095278,-69.98,6891869,403734,3421005
"03453007-6","HACIENDA MARIA ISABEL (1)","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",120,-27.338333,-70.793056,6974817,322614,3453007
"03453006-8","HACIENDA MARIA ISABEL (3)","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",106,-27.343056,-70.773611,6974306,324560,3453006
"03453005-K","HACIENDA MARIA ISABEL (4)","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",120,-27.344444,-70.751944,6974181,326692,3453005
"03451015-6","HACIENDA PERALES (10)","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",199,-27.348056,-70.587778,6973971,342937,3451015
"03451004-0","HACIENDA SAN FRANCISCO","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",274,-27.293056,-70.464722,6980249,355037,3451004
"03451005-9","HACIENDA TOLEDO","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",287,-27.301667,-70.445,6979332,357001,3451005
"03451016-4","HDA MARGARITA (MATAMOROS)","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",192,-27.347778,-70.606944,6974009,341043,3451016
