cr2sub_id,AWC_0_100,AWC_0_5,AWC_100_200,AWC_15_30,AWC_30_60,AWC_5_15,AWC_60_100,Bulkd_0_100,Bulkd_0_5,Bulkd_100_200,Bulkd_15_30,Bulkd_30_60,Bulkd_5_15,Bulkd_60_100,Clay_0_100,Clay_0_5,Clay_100_200,Clay_15_30,Clay_30_60,Clay_5_15,Clay_60_100,ksat_0_100,ksat_0_5,ksat_100_200,ksat_15_30,ksat_30_60,ksat_5_15,ksat_60_100,Sand_0_100,Sand_0_5,Sand_100_200,Sand_15_30,Sand_30_60,Sand_5_15,Sand_60_100
01110006,73.874,4.131,64.409,13.529,21.826,7.521,26.866,1.564,1.499,1.608,1.483,1.566,1.656,1.579,12.636,10.108,11.325,12.325,12.394,14.214,12.855,82.005,89.054,88.551,81.361,81.83,52.357,88.908,81.818,78.596,83.244,78.338,81.838,82.297,83.39
01310062,95.756,5.292,86.753,15.574,30.145,10.161,34.584,1.559,1.41,1.765,1.412,1.437,1.583,1.719,7.952,8.397,9.373,7.348,7.44,11.724,7.564,56.048,83.048,19.658,86.519,81.777,35.052,27.199,72.258,72.492,72.457,72.428,72.825,70.714,72.126
01110005,76.803,4.641,93.819,13.105,22.918,7.228,28.911,1.603,1.58,1.66,1.57,1.603,1.627,1.612,12.735,15.709,20.475,12.508,12.666,11.381,12.839,64.253,48.667,32.98,57.553,64.263,62.837,69.062,80.852,78.144,82.06,77.903,80.943,81.071,82.174
01110007,89.678,4.698,103.577,14.497,27.395,6.809,36.279,1.615,1.631,1.638,1.621,1.643,1.641,1.582,17.081,16.272,24.025,17.399,18.304,7.974,18.422,46.083,35.162,26.593,34.603,37.338,64.143,53.798,79.727,77.382,80.757,77.158,79.965,79.844,80.776
01110010,89.989,4.707,102.877,14.547,27.52,6.822,36.393,1.615,1.628,1.645,1.618,1.64,1.638,1.587,17.111,16.23,23.829,17.444,18.361,7.872,18.469,45.639,35.64,25.864,34.922,37.557,64.658,52.215,79.631,77.32,80.649,77.094,79.866,79.743,80.666
01110008,87.996,4.632,101.657,14.248,26.877,6.619,35.62,1.623,1.645,1.635,1.636,1.655,1.65,1.585,16.611,15.971,23.241,16.932,17.768,7.576,17.962,46.214,33.695,25.026,33.274,36.598,64.541,55.262,79.926,77.547,80.96,77.327,80.15,80.041,81.001
01110004,90.157,4.646,99.707,14.503,27.601,6.744,36.663,1.626,1.644,1.654,1.635,1.655,1.652,1.593,17.012,15.588,22.537,17.43,18.351,7.286,18.459,42.709,33.555,25.409,31.821,34.034,61.979,49.626,79.399,77.169,80.383,76.943,79.616,79.518,80.406
01110002,99.385,5.528,90.421,16.691,30.674,9.638,36.853,1.482,1.374,1.602,1.359,1.429,1.583,1.557,9.081,9.14,9.798,8.652,8.694,11.284,8.973,68.425,89.869,43.956,95.819,80.812,40.983,53.042,73.278,72.624,74.082,72.66,73.309,73.034,73.63
01110009,70.685,4.319,93,12.847,21.447,5.852,26.219,1.629,1.587,1.726,1.575,1.61,1.624,1.671,13.359,14.742,19.429,13.851,13.602,9.675,13.741,66.326,54.823,21.495,58.544,70.287,86.112,62.764,82.809,79.524,84.242,79.252,82.78,83.253,84.465
01110003,73.488,4.392,91.563,11.78,21.768,7.786,27.762,1.603,1.564,1.686,1.554,1.581,1.623,1.637,6.898,10.874,17.976,6.415,6.311,9.094,6.474,69.368,59.509,29.463,76.857,76.703,55.195,65.835,77.97,76.871,78.783,76.774,77.969,77.831,78.591
01110011,81.878,4.426,93.529,13.07,24.226,8.59,31.566,1.616,1.63,1.572,1.622,1.645,1.648,1.581,6.236,6.971,13.013,5.794,5.663,10.115,5.771,53.243,40.5,48.32,44.437,46.66,39.362,66.546,74.334,72.074,75.965,71.814,73.987,75.583,75.51
01211009,85.425,4.656,99.348,13.305,24.961,9.021,33.483,1.603,1.636,1.559,1.629,1.646,1.618,1.554,5.712,8.139,13.795,5.128,4.994,9.886,5.124,52.092,34.033,43.701,41.4,43.858,40.357,67.468,72.713,70.598,74.289,70.337,72.39,73.94,73.805
01211007,91.859,5.021,101.524,14.334,27.264,9.064,36.177,1.619,1.621,1.629,1.612,1.638,1.677,1.593,8.381,12.585,17.958,7.839,7.82,10.335,7.991,39.401,28.998,27.486,36.599,36.149,28.536,46.908,71.938,70.026,73.509,69.88,71.604,73.1,72.909
01310048,90.059,4.801,100.729,13.73,26.622,9.724,35.181,1.625,1.62,1.645,1.613,1.626,1.601,1.635,5.191,7.627,14.245,4.565,4.466,9.311,4.635,41.378,34.553,24.5,42.459,42.716,36.324,42.085,69.86,68.938,70.994,68.828,69.805,70.448,70.257
01211010,89.806,4.755,101.704,13.821,26.659,9.536,35.035,1.543,1.53,1.565,1.521,1.534,1.53,1.564,5.741,7.32,13.86,5.362,5.252,8.334,5.404,62.182,57.847,40.839,65.513,66.15,56.795,59.847,72.346,71.724,73.206,71.601,72.391,72.417,72.652
01310049,95.73,5.018,103.935,15.189,29.354,7.883,38.286,1.64,1.633,1.639,1.625,1.644,1.647,1.643,17.537,17.906,23.658,18,18.607,9.42,18.543,31.968,27.641,25.137,28.253,29.071,47.845,32.105,77.155,75.178,78.29,74.952,77.054,77.688,78.171
01310051,95.73,5.018,103.935,15.189,29.354,7.883,38.286,1.64,1.633,1.639,1.625,1.644,1.647,1.643,17.537,17.906,23.658,18,18.607,9.42,18.543,31.968,27.641,25.137,28.253,29.071,47.845,32.105,77.155,75.178,78.29,74.952,77.054,77.688,78.171
01211008,89.415,4.835,100.297,13.959,26.892,9.39,34.338,1.55,1.521,1.598,1.508,1.521,1.545,1.592,6.617,8.944,15.709,6.258,6.117,8.806,6.29,60.421,58.197,34.318,67.561,68.522,54.263,53.485,73.046,72.489,73.838,72.339,73.137,73.018,73.318
01310058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01310033,98.708,5.55,96.548,16.168,30.902,8.565,37.521,1.569,1.49,1.723,1.491,1.502,1.564,1.661,17.939,20.725,22.157,18.231,18.578,11.917,18.509,46.359,50.595,17.766,52.963,57.936,61.211,30.957,77.53,75.656,78.523,75.469,77.458,77.838,78.514
01310031,95.94,5.746,89.818,16.618,30.233,9.256,34.087,1.528,1.369,1.724,1.354,1.422,1.57,1.683,8.921,11.705,13.204,8.401,8.429,10.56,8.727,64.345,84.144,23.494,100.086,87.132,49.265,35.146,73.992,72.982,74.948,72.938,73.961,74.449,74.423
01310032,87.623,4.958,85.786,14.521,26.874,8.433,32.837,1.513,1.433,1.62,1.421,1.467,1.574,1.576,8.165,9.425,11.201,7.683,7.807,9.045,8.237,75.805,85.242,45.876,95.092,88.476,59.524,61.959,75.842,74.784,76.776,74.748,75.803,76.206,76.324
01310054,79.975,4.713,81.777,13.46,24.343,7.927,29.532,1.589,1.516,1.702,1.504,1.544,1.601,1.661,6.628,8.926,11.035,6.184,6.171,8.217,6.452,63.376,64.097,34.061,75.339,74.837,58.807,51.346,75.977,73.98,77.506,73.842,75.75,76.928,76.96
01310053,103.55,5.848,94.269,17.112,32.833,9.34,38.417,1.564,1.459,1.763,1.46,1.473,1.547,1.689,19.057,21.953,22.167,19.37,19.609,13.765,19.486,42.425,51.853,12.44,53.704,58.062,55.206,22.094,76.633,74.726,77.686,74.569,76.531,76.999,77.631
01310034,103.736,5.853,94.565,17.116,32.858,9.365,38.544,1.512,1.463,1.616,1.464,1.476,1.55,1.554,19.301,22.142,22.367,19.655,19.912,13.83,19.721,41.628,50.545,12.189,52.443,56.681,54.078,22.056,76.701,74.751,77.709,74.603,76.666,77.072,77.664
01310060,104.851,5.848,92.291,17.197,33.237,9.493,39.076,1.568,1.485,1.739,1.486,1.498,1.564,1.663,19.074,21.591,21.888,19.495,19.722,13.272,19.567,35.7,42.928,10.543,44.464,47.336,47.857,19.744,75.801,73.841,76.901,73.706,75.655,76.338,76.807
01310059,105.354,5.915,91.967,17.28,33.445,9.599,39.114,1.585,1.486,1.801,1.486,1.499,1.563,1.704,18.951,22.359,22.585,19.275,19.498,13.332,19.399,34.496,41.015,9.773,43.22,45.862,46.802,18.808,74.915,72.982,76.106,72.874,74.689,75.573,75.927
01310056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01310042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01310057,103.619,5.789,94.814,16.897,32.5,9.39,39.043,1.565,1.481,1.758,1.481,1.494,1.563,1.66,18.856,21.951,21.804,19.095,19.329,14.139,19.204,41.056,46.683,13.884,48.892,52.571,50.124,26.512,76.276,74.372,77.369,74.229,76.113,76.766,77.282
01310041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01310067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01310063,86.677,4.964,86.254,14.262,26.683,8.863,31.906,1.609,1.505,1.783,1.486,1.523,1.586,1.739,8.205,10.849,14.129,7.739,7.755,10.069,7.92,51.075,59.163,17.795,71.482,68.219,50.134,29.789,74.818,73.574,76.13,73.449,74.655,75.292,75.491
01310065,85.912,5.004,87.88,14.063,26.318,8.915,31.613,1.612,1.513,1.783,1.494,1.529,1.583,1.739,8.216,11.894,15.637,7.68,7.664,10.555,7.787,51.026,55.531,16.323,70.715,68.165,50.322,30.401,75.034,73.8,76.32,73.658,74.878,75.477,75.71
01310029,97.089,5.431,86.294,16.76,31.184,9.721,33.992,1.542,1.377,1.779,1.358,1.407,1.541,1.733,8.276,7.705,10.846,7.988,8.007,10.128,8.194,60.559,92.715,17.566,96.051,87.832,50.67,25.247,72.908,72.165,73.756,72.072,73.026,72.865,73.236
01310052,95.854,5.407,116.191,14.312,28.038,9.562,38.535,1.606,1.636,1.565,1.625,1.635,1.641,1.565,9.757,21.559,27.335,8.803,8.851,10.847,9.046,37.608,18.242,25.647,33.479,33.566,29.864,46.545,71.306,70.428,72.066,70.306,71.135,71.571,71.853
01310050,96.878,5.341,82.968,16.043,30.776,9.798,34.92,1.573,1.402,1.845,1.396,1.44,1.561,1.763,8.199,7.911,8.727,7.643,7.971,8.103,8.639,52.563,85.163,13.385,87.307,76.43,44.942,19.465,71.69,72.034,71.561,72.032,72.276,70.24,71.441
01310044,93.958,5.716,105.16,14.851,28.489,9.512,35.389,1.563,1.514,1.648,1.497,1.521,1.573,1.622,9.092,19.751,22.513,8.116,8.168,11.067,8.324,51.121,37.587,22.071,62.127,60.382,45.035,43.26,73.04,71.957,74.288,71.863,72.781,73.674,73.651
01310071,81.58,4.95,100.576,12.872,24.166,8.41,31.182,1.666,1.678,1.653,1.671,1.687,1.663,1.648,6.479,15.248,19.818,5.818,5.634,8.729,5.701,41.378,20.28,24.42,35.73,38.077,38.107,49.426,73.881,71.84,75.267,71.576,73.566,74.943,74.97
01310068,95.783,5.639,110.002,14.841,28.703,9.548,37.052,1.553,1.533,1.589,1.516,1.538,1.581,1.573,9.158,19.079,22.474,8.262,8.343,10.5,8.53,50.433,34.541,27.66,56.366,54.279,42.702,49.242,72.397,71.503,73.444,71.416,72.178,72.872,72.922
01310066,95.102,5.696,107.983,15.014,28.748,9.45,36.194,1.534,1.495,1.591,1.478,1.507,1.571,1.57,8.858,18.065,21.3,7.973,8.054,10.406,8.256,56.67,42.452,29.056,66.657,63.236,46.444,52.334,72.986,72.039,74.142,71.95,72.764,73.483,73.534
01310043,97.31,5.492,117.31,14.509,28.45,9.631,39.227,1.563,1.595,1.528,1.578,1.587,1.594,1.528,9.333,20.005,24.424,8.453,8.532,10.203,8.714,46.262,24.203,33.737,42.49,42.372,38.796,55.217,71.587,70.798,72.43,70.699,71.396,71.927,72.076
01310025,99.688,5.657,100.636,16.16,31.032,10.319,36.521,1.527,1.436,1.676,1.417,1.447,1.528,1.638,8.689,12.219,17.363,7.874,8.034,11.324,8.386,56.048,61.239,20.131,78.175,73.041,46.053,36.854,71.721,71.248,72.544,71.181,71.834,71.485,71.958
01310061,86.475,4.834,104.084,13.148,25.583,8.776,34.133,1.583,1.578,1.591,1.569,1.576,1.574,1.597,6.314,11.412,17.686,5.803,5.773,7.449,5.991,56.049,42.651,34.579,57.396,58.617,55.53,55.422,73.304,72.618,73.944,72.459,73.156,73.529,73.76
01310028,90.666,5.159,101.688,14.275,27.338,9.515,34.38,1.551,1.5,1.608,1.483,1.513,1.575,1.604,7.184,11.623,16.751,6.341,6.443,10.407,6.694,58.825,55.791,30.852,73.415,68.871,44.57,49.762,73.107,72.563,73.972,72.459,73.132,73.095,73.401
01310040,89.661,4.448,87.023,13.423,26.579,8.612,36.599,1.765,1.757,1.836,1.737,1.766,1.85,1.756,8.732,8.27,10.182,7.832,8.329,9.072,9.343,18.466,20.977,11.003,23.637,19.967,11.572,16.812,69.553,70.256,69.331,70.314,70.167,68.081,69.088
